id;name;description;price;category;icon;features;is_popular;is_active;sort_order;created_at;updated_at;perfect_for;integrations;image_url;long_description;job_title;slug;tiers;card_media;product_media;section_order;website_category;base_price_description
30e75b0c-b562-463a-ba9f-67ef44d421a2;Arsenal;;247;General;bot;"[""AI Auto-Cataloging ."",""SEO-Optimized Description Generator"",""Instant Inventory Deployment"",""Dynamic Pricing Control"",""Stock & Logistics Tracking"",""Image Optimization""]";false;true;999;2026-01-08 02:01:13.486039+00;2026-01-16 12:57:10.636775+00;[];[];https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767837384311-v7bnkg.mp4;;E-Commerce Agent;arsenal;"[{""description"":""2 Websites (unlimited Pages, up to 20 in the templates), 2 Domains"",""price"":497},{""description"":""3 Websites (unlimited Pages, up to 20 in the templates), 3 Domains"",""price"":697},{""description"":""4 Websites (unlimited Pages, up to 20 in the templates), 4 Domains"",""price"":897},{""description"":""5 Websites (unlimited Pages, up to 20 in the templates), 5 Domains"",""price"":1197}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767837384311-v7bnkg.mp4""}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767837389642-hhomwg.mp4""}]";999;"[""Beta""]";1 Website (unlimited Pages, up to 20 in the templates), 1 Domain
c68bb7bb-c7b8-4fab-8e72-a8d009ca2b31;Apex;"Stop shouting into the algorithmic void and start striking with lethal precision. Apex replaces the ""spray and pray"" chaos of traditional lead generation with the ""Perfect Line"" a calculated trajectory that cuts through the noise to hit decision-makers exactly where they listen. Functioning as a relentless ""LinkedIn Sentinel"" and 24/7 Growth Architect, Apex automates the entire top-of-funnel sales process to position you as an undisputed thought leader. He begins by deploying ""Eagle Eye"" targeting, filtering out gatekeepers and irrelevant profiles to lock onto high-value prospects with 100% accuracy. Once the target is acquired, he executes ""Smart Sequences"" automated, adaptive drip campaigns that nurture relationships through personalized connection requests and value-driven follow-ups. Simultaneously, he fires ""Signal Arrows,"" creating algorithmic content designed to explode visibility and warm up your network before a pitch is ever sent. By utilizing ""Shadow Cloak"" protocols to mimic human behavior and avoid spam filters, Apex ensures your inbox fills with qualified meetings, handing off only the ""Hot Leads"" to your team via the ""Relay Beacon"" protocol.";247;Growth;bot;"[""Automated LinkedIn Outreach"",""Precision Audience Targeting"",""Hyper-Personalized Messaging"",""Intelligent Drip Campaigns"",""Anti-Spam Safety Protocols"",""Authentic Tone Matching"",""Live Performance Analytics"",""Seamless CRM Sync"",""Scalable Lead Generation""]";true;true;999;2026-01-07 13:13:56.656827+00;2026-01-19 10:25:08.118872+00;[];"[""LinkedIn"",""Go High Level (GHL)"",""Hubspot"",""Salesforce""]";https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767791583075-9cntby.mp4;;LinkedIn Outreach Agent;apex;"[{""description"":""Multiple Campaigns, LinkedIn Profile Optimization"",""price"":397}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767791583075-9cntby.mp4""}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767801115182-d2g2ah.mp4""}]";999;"[""New""]";1 Campaign Per Month
60d832d1-60ca-45bd-978b-92e5a2045d3f;GHL;<p>GoHighLevel is an all-in-one sales and marketing operating system that consolidates CRM, automation, funnels, and communication tools into a single platform, allowing agencies and businesses to replace dozens of fragmented subscriptions.</p>;97;General;bot;"[""Unified Inbox"",""Workflow Automation"",""Two-Way SMS"",""Email Marketing"",""Missed Call Text Back"",""Forms & Surveys"",""Sales Pipeline Management"",""Calendar & Booking"",""Invoicing & Payments"",""Memberships & Courses"",""Social Media Planner"",""Communities""]";false;true;999;2026-01-16 10:16:27.930985+00;2026-01-16 10:28:04.582825+00;[];[];https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1768558564566-un4pi8.jpeg;;GoHighLevel CRM;ghl;[];"[{""type"":""image"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1768558564566-un4pi8.jpeg""}]";"[{""type"":""image"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1768558567666-fmaju.jpeg""}]";999;"[""Software"",""Popular""]";
45c0e951-ee50-4034-b776-e18369c40501;Forge;"Is your website a 24/7 salesman, or just a digital paperweight? Most business owners are victims of the ""Silent Leak"" spending thousands on ads and content to drive traffic into a black hole. Visitors arrive, look around, and vanish without a trace. You don't have a traffic problem; you have a capture problem. You are leaving money on the table every single second your site sits static. 

Stop building brochures and start engineering ecosystems. Our Funnel Builder Agent doesn't just design web pages; it constructs ""Behavioral Pathways."" Operating as a strategic architect, this agent replaces the guesswork of web design with the precision of conversion science.

Best of all, you are the Commander, not the coder. Forget clunky drag-and-drop editors or waiting days for developers. You simply talk to the agent. Through advanced natural language processing, you speak your vision"" Change the headline to red,"" ""Move the testimonial section up,"" ""Add a countdown timer"", and the agent executes your orders in real-time. It translates your voice into code instantly, building dynamic, high-converting funnels that grab your prospect's attention, dismantle their objections, and guide them inevitably toward the ""Buy"" button.

Patch the leak, command your agent, and turn your traffic into revenue. Deploy Your Funnel Agent Now!";97;Sales;bot;"[""AI Funnel Builder"",""Tracking Setup"",""Follow-up Sequences"",""Conversion Testing"",""Voice-to-Web Generation"",""High-Converting Copywriting"",""Instant Template Deployment"",""Automated CRM Integrations"",""Speed Performance Optimization"",""Conversion Tracking Setup"",""Mobile-Ready Designs"",""Lead Capture Forms"",""Real-Time Analytics""]";false;true;2;2026-01-05 06:51:41.284353+00;2026-01-16 13:00:29.089807+00;[];"[""Go High Level"",""Hubspot"",""Salesforce""]";https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767801703230-ckw1d.mp4;;Funnel Builder Agent;forge;"[{""description"":""3 Funnels Per Month + 2 Conversion Tests"",""price"":197},{""description"":""6 Funnels Per Month + 3 Conversion Tests + Monthly Funnel Tuning"",""price"":397},{""description"":""10 Funnels Per Month + 6 Conversion Tests + Monthly Funnel Tuning"",""price"":697},{""description"":""15 Funnels Per Month + Conversion Report + Monthly Funnel Tuning"",""price"":997}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767801703230-ckw1d.mp4""}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767801706905-8vxs4dh.mp4""}]";999;"[""Beta""]";1 Funnel Per Month
4c93606c-694a-4963-9553-4dd2177861b1;Luna;<p><strong>Your Vision. Her Power. Verified by Mission Control.</strong></p><p>Stop fighting with algorithms. At Cynergists, you don't guess, you delegate. Speak directly to our customer service liason in our secure client portal. Agent Luna processes your command, architecting a visual legacy using state-of-the-art generation. Our human Mission Control team acts as your final firewall, enforcing the Gold Standard on every pixel to ensure zero errors. You get the output of a 10-person art department by sending a single message.</p><p><strong>CTA:</strong> <strong>Initialize Agent Luna (Starting at $97/mo)</strong></p>;97;Content;bot;"[""Brand Identity Management"",""Creative Direction"",""Image Generation"",""Emotional Copywriting Strategy"",""Visual Quality Assurance"",""Editorial Calendar Planning"",""Consistent Tone Enforcement"",""Brand Safety Protocols"",""Cross-Channel Uniformity"",""Sentiment Analysis Tracking""]";false;true;999;2026-01-07 18:16:41.747187+00;2026-01-16 13:01:05.036919+00;[];"[""Go High Level"",""HubSpot"",""Salesforce"",""MailChimp""]";https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767815243265-63cx3l.mp4;;Graphic Content Creator Agent;luna;"[{""description"":""60 Graphics"",""price"":197},{""description"":""150 Graphics"",""price"":347},{""description"":""300 Graphics"",""price"":647},{""description"":""500 Graphics"",""price"":997}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767815243265-63cx3l.mp4""}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767815247723-e75zhm.mp4""}]";999;"[""New"",""Popular""]";30 Graphics
a6a1df75-c727-4d41-a17c-479def24b4e5;Impulse;"The Scroll is Infinite. Your Revenue Should Be Too. TikTok Shop is the new battlefield for e-commerce, but feeding the algorithm is a full-time war. Stop burning out trying to film, edit, and post every single day.
Meet Impulse: The Social Commerce Agent.
This is your psychological warfare unit designed to trigger immediate action. Impulse connects directly to your TikTok Shop and transforms static product listings into viral-ready video assets without you lifting a camera. Powered by AI video engines, Impulse autonomously generates, edits, and posts short-form content designed to stop the scroll and drive the sale. It doesn't just get views; it gets conversions.
• Autonomous Video Production: Generates high-retention video reels from your existing product photos using generative AI logic.
• Trend-Aware Editing: Automatically applies trending audio, dynamic captions, and fast-paced cuts to match the platform's native ""vibe.""
• Shop Integration: seamlessly tags products in every video, creating a frictionless path from ""View"" to ""Checkout"" inside the app.
Don't just chase the trend. Automate it. Trigger Impulse";397;General;bot;"[""AI-Generated Videos"",""Automatic Product Integration"",""Video Hyperlinking Directly to TikTok Shop"",""Trend & Audio Optimization"",""Engagement Automation"",""Comment Response Automation"",""DM Triage""]";false;true;999;2026-01-08 19:50:20.972601+00;2026-01-09 05:40:04.125857+00;[];"[""GoHigh Level"",""Salesforce"",""Hubspot"",""TikTok"",""Stripe"",""Square"",""Authorize.net""]";https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767904235415-3igufo.mp4;;TikTok Shop Agent;impulse;"[{""description"":""30 AI-Generated Video Assets,  Automatic Product Integration, Video Hyperlinking Directly to the TikTok Shop, Trend & Audio Optimization,  Engagement Automation, Comment Response Automation, DM Triage"",""price"":997},{""description"":""60 AI-Generated Video Assets,  Automatic Product Integration, Video Hyperlinking Directly to the TikTok Shop, Trend & Audio Optimization,  Engagement Automation, Comment Response Automation, DM Triage"",""price"":1897}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767904235415-3igufo.mp4""}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767904239299-wpu0jl.mp4""}]";999;"[""Planned""]";10 AI-Generated Video Assets,  Automatic Product Integration, Video Hyperlinking Directly to the TikTok Shop, Trend & Audio Optimization,  Engagement Automation, Comment Response Automation, DM Triage
902f4422-2393-49af-a3c0-0f1fc38dfad2;Titan;;0;General;bot;[];false;false;999;2026-01-08 22:01:09.107913+00;2026-01-13 22:06:10.354944+00;[];[];https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767909629243-0u0ya.mp4;;Home Services Project Estimator Agent;titan;[];"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767909629243-0u0ya.mp4""}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767909633256-njv7wb.mp4""}]";999;"[""Planned""]";
972155af-251b-4c2f-929d-76f265a6a5a7;Administrative Assistant;Professional administrative support billed monthly. Choose 10, 20, 40, 80, or 160 hours per month at $18/hour.;180;Team Support;bot;"[""Email management & scheduling"",""Calendar coordination"",""Document preparation"",""Travel arrangements"",""Meeting coordination""]";false;true;0;2026-01-16 20:32:37.717888+00;2026-01-16 23:28:20.921295+00;[];[];https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1768606075510-9r5vb.mp4;Handle day-to-day administrative tasks, scheduling, email management, and organization. Our experienced virtual assistants help you stay organized and focused on what matters most.;Virtual Admin Support;admin-assistant;"[{""description"":""20 hours/month"",""name"":""20 Hours"",""price"":360},{""description"":""40 hours/month"",""name"":""40 Hours"",""price"":720},{""description"":""80 hours/month"",""name"":""80 Hours"",""price"":1440},{""description"":""160 hours/month"",""name"":""160 Hours"",""price"":2880}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1768606075510-9r5vb.mp4""}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1768606080316-m0lgvq.mp4""}]";999;"[""Popular""]";10 hours/month
50314c2b-bc25-4140-aa65-a008ea57e980;Cashara;Your financial analyst that never sleeps. Most business owners make decisions based on last month’s data. But in a fast-moving market, relying on lagging indicators creates cash flow blind spots that stall your momentum. Cashara turns bookkeeping into business intelligence. Beyond just tracking expenses, she monitors cash flow trends and generates real-time reports, empowering you to make proactive financial decisions based on today's numbers, not last quarter's. Deploy Cashara Today!;77;Finance;bot;[];false;true;999;2026-01-08 15:54:41.070613+00;2026-01-15 11:24:23.825536+00;[];[];https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1768476253550-94a4h.mp4;;Bookkeeper Agent;cashara;[];"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1768476253550-94a4h.mp4""}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1768476256913-80336g.mp4""}]";999;"[""Planned""]";
72c3d307-f7a6-480b-b4d9-d6e4094a0eed;Pulse;"Silence is the sound of a dead pipeline. Stop shouting into the void and start broadcasting on a frequency that shatters the ""Spam Barrier,"" turning cold prospects into heated conversations instantly.

Deploy Pulse to serve as your relentless ""Outbound Broadcaster,"" transforming the icy silence of cold outreach into a rhythm of revenue. Functioning as a master of ""Signal Penetration,"" he bypasses the defensive walls of corporate inboxes by utilizing ""Frequency Hopping"" rotating sender domains and IPs to remain invisible to spam filters. Pulse executes the ""Prism Protocol"" to generate thousands of hyper-personalized message variants, ensuring no two emails look alike to the algorithms. By monitoring ""Heartbeat Metrics"" like reply rates and domain health in real-time, he auto-corrects his aim, effectively melting cold leads into warm opportunities before your team ever lifts a finger.

Ready to break the silence? Deploy Pulse today.";47;Communication;bot;"[""Branded Newsletters"",""List Management"",""Performance analytics"",""Automated Cold Emailing"",""Infinite Inbox Rotation"",""AI Spam Avoidance"",""Hyper-Personalized Scripts"",""Domain Health Monitoring"",""Automated Follow-Up Drips"",""Smartlead.ai Integration"",""A/B Testing Frameworks"",""Unified Inbox Management"",""Reply Rate Optimization""]";false;true;3;2026-01-05 06:51:41.284353+00;2026-01-09 05:40:04.125857+00;[];"[""GoHighLevel (GHL)"",""Hubspot"",""Salesforce"",""Gemini"",""WordPress"",""Webflow"",""RSS Feeds""]";https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767803303032-7oj7is.mp4;;Cold Email Manager;pulse;"[{""description"":""Add 4 sends + link checks."",""price"":47},{""description"":""Add 12 sends + basic segmentation."",""price"":97},{""description"":""Add 30 sends + campaign sequences."",""price"":147},{""description"":""Add 60 sends + triggered events."",""price"":247},{""description"":""Add 100 sends + deliverability monitoring."",""price"":347}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767803303032-7oj7is.mp4""}]";"[{""type"":""video"",""url"":""https://bzduprwcihnxyvrugjgg.supabase.co/storage/v1/object/public/plan-product-images/agents/1767803306414-7tlsk.mp4""}]";999;"[""Planned""]";
